nohup: ignoring input
 --------------------------------------------------------
                  Real time propagation                  
  (C) Copyright by Bauer D and Koval P, Heidelberg (2005)
 --------------------------------------------------------
  No t-SURFF/i-SURFF data will be generated
 --------------------------------------------------------
./dat/real_prop.log will be (re)written.
./dat/real_prop_yield.dat will be (re)written.
./dat/real_prop_obser.dat will be (re)written.
Imaginary potential width: 	32.7757
Total grid length: 	69.643
Total number of grid points: 	696
Distance at last grid point: 	69.7
Imag time prop grid with size: g_load.size() = 1500
  is fit into
Real time prop grid with size: g_prop.size() = 34800
Now I am storing
Norm of orbital: 1.000000e+00
timestep 62200 of 666781, Norm of wave function: 1
timestep 62400 of 666781, Norm of wave function: 1
timestep 62600 of 666781, Norm of wave function: 1
timestep 62800 of 666781, Norm of wave function: 1
timestep 63000 of 666781, Norm of wave function: 1
timestep 63200 of 666781, Norm of wave function: 1
timestep 63400 of 666781, Norm of wave function: 1
timestep 63600 of 666781, Norm of wave function: 1
timestep 63800 of 666781, Norm of wave function: 1
timestep 64000 of 666781, Norm of wave function: 1
timestep 64200 of 666781, Norm of wave function: 1
timestep 64400 of 666781, Norm of wave function: 1
timestep 64600 of 666781, Norm of wave function: 1
timestep 64800 of 666781, Norm of wave function: 1
timestep 65000 of 666781, Norm of wave function: 1
timestep 65200 of 666781, Norm of wave function: 1
timestep 65400 of 666781, Norm of wave function: 1
timestep 65600 of 666781, Norm of wave function: 1
timestep 65800 of 666781, Norm of wave function: 1
timestep 66000 of 666781, Norm of wave function: 1
timestep 66200 of 666781, Norm of wave function: 1
timestep 66400 of 666781, Norm of wave function: 1
timestep 66600 of 666781, Norm of wave function: 1
timestep 66800 of 666781, Norm of wave function: 1
timestep 67000 of 666781, Norm of wave function: 1
timestep 67200 of 666781, Norm of wave function: 1
timestep 67400 of 666781, Norm of wave function: 1
timestep 67600 of 666781, Norm of wave function: 1
timestep 67800 of 666781, Norm of wave function: 1
timestep 68000 of 666781, Norm of wave function: 1
timestep 68200 of 666781, Norm of wave function: 1
timestep 68400 of 666781, Norm of wave function: 1
timestep 68600 of 666781, Norm of wave function: 1
timestep 68800 of 666781, Norm of wave function: 1
timestep 69000 of 666781, Norm of wave function: 1
timestep 69200 of 666781, Norm of wave function: 1
timestep 69400 of 666781, Norm of wave function: 1
timestep 69600 of 666781, Norm of wave function: 1
timestep 69800 of 666781, Norm of wave function: 1
timestep 70000 of 666781, Norm of wave function: 1
timestep 70200 of 666781, Norm of wave function: 1
timestep 70400 of 666781, Norm of wave function: 1
timestep 70600 of 666781, Norm of wave function: 1
timestep 70800 of 666781, Norm of wave function: 1
timestep 71000 of 666781, Norm of wave function: 1
timestep 71200 of 666781, Norm of wave function: 1
timestep 71400 of 666781, Norm of wave function: 1
timestep 71600 of 666781, Norm of wave function: 1
timestep 71800 of 666781, Norm of wave function: 1
timestep 72000 of 666781, Norm of wave function: 1
timestep 72200 of 666781, Norm of wave function: 1
timestep 72400 of 666781, Norm of wave function: 1
timestep 72600 of 666781, Norm of wave function: 1
timestep 72800 of 666781, Norm of wave function: 1
timestep 73000 of 666781, Norm of wave function: 1
timestep 73200 of 666781, Norm of wave function: 1
timestep 73400 of 666781, Norm of wave function: 1
timestep 73600 of 666781, Norm of wave function: 1
timestep 73800 of 666781, Norm of wave function: 1
timestep 74000 of 666781, Norm of wave function: 1
timestep 74200 of 666781, Norm of wave function: 1
timestep 74400 of 666781, Norm of wave function: 1
timestep 74600 of 666781, Norm of wave function: 1
