nohup: ignoring input
 --------------------------------------------------------
                  Real time propagation                  
  (C) Copyright by Bauer D and Koval P, Heidelberg (2005)
 --------------------------------------------------------
  No t-SURFF/i-SURFF data will be generated
 --------------------------------------------------------
./dat/real_prop.log will be (re)written.
./dat/real_prop_yield.dat will be (re)written.
./dat/real_prop_obser.dat will be (re)written.
Imaginary potential width: 	74.9159
Total grid length: 	81.3015
Total number of grid points: 	813
Distance at last grid point: 	81.4
Imag time prop grid with size: g_load.size() = 1000
  is fit into
Real time prop grid with size: g_prop.size() = 40650
Now I am storing
Norm of orbital: 1.000000e+00
timestep 40200 of 666781, Norm of wave function: 0.997507
timestep 40400 of 666781, Norm of wave function: 0.997494
timestep 40600 of 666781, Norm of wave function: 0.99748
timestep 40800 of 666781, Norm of wave function: 0.997467
timestep 41000 of 666781, Norm of wave function: 0.997454
timestep 41200 of 666781, Norm of wave function: 0.99744
timestep 41400 of 666781, Norm of wave function: 0.997427
timestep 41600 of 666781, Norm of wave function: 0.997414
timestep 41800 of 666781, Norm of wave function: 0.9974
timestep 42000 of 666781, Norm of wave function: 0.997387
timestep 42200 of 666781, Norm of wave function: 0.997373
timestep 42400 of 666781, Norm of wave function: 0.99736
timestep 42600 of 666781, Norm of wave function: 0.997346
timestep 42800 of 666781, Norm of wave function: 0.997332
timestep 43000 of 666781, Norm of wave function: 0.997319
timestep 43200 of 666781, Norm of wave function: 0.997305
timestep 43400 of 666781, Norm of wave function: 0.997291
timestep 43600 of 666781, Norm of wave function: 0.997278
timestep 43800 of 666781, Norm of wave function: 0.997264
timestep 44000 of 666781, Norm of wave function: 0.99725
timestep 44200 of 666781, Norm of wave function: 0.997236
timestep 44400 of 666781, Norm of wave function: 0.997222
timestep 44600 of 666781, Norm of wave function: 0.997208
timestep 44800 of 666781, Norm of wave function: 0.997194
timestep 45000 of 666781, Norm of wave function: 0.99718
timestep 45200 of 666781, Norm of wave function: 0.997166
timestep 45400 of 666781, Norm of wave function: 0.997152
timestep 45600 of 666781, Norm of wave function: 0.997138
timestep 45800 of 666781, Norm of wave function: 0.997124
timestep 46000 of 666781, Norm of wave function: 0.99711
timestep 46200 of 666781, Norm of wave function: 0.997095
timestep 46400 of 666781, Norm of wave function: 0.997081
timestep 46600 of 666781, Norm of wave function: 0.997067
timestep 46800 of 666781, Norm of wave function: 0.997052
timestep 47000 of 666781, Norm of wave function: 0.997038
timestep 47200 of 666781, Norm of wave function: 0.997024
timestep 47400 of 666781, Norm of wave function: 0.997009
timestep 47600 of 666781, Norm of wave function: 0.996994
timestep 47800 of 666781, Norm of wave function: 0.99698
timestep 48000 of 666781, Norm of wave function: 0.996965
timestep 48200 of 666781, Norm of wave function: 0.99695
timestep 48400 of 666781, Norm of wave function: 0.996935
timestep 48600 of 666781, Norm of wave function: 0.99692
timestep 48800 of 666781, Norm of wave function: 0.996905
timestep 49000 of 666781, Norm of wave function: 0.99689
timestep 49200 of 666781, Norm of wave function: 0.996875
timestep 49400 of 666781, Norm of wave function: 0.99686
timestep 49600 of 666781, Norm of wave function: 0.996844
timestep 49800 of 666781, Norm of wave function: 0.996829
timestep 50000 of 666781, Norm of wave function: 0.996813
timestep 50200 of 666781, Norm of wave function: 0.996797
timestep 50400 of 666781, Norm of wave function: 0.996782
timestep 50600 of 666781, Norm of wave function: 0.996766
timestep 50800 of 666781, Norm of wave function: 0.99675
timestep 51000 of 666781, Norm of wave function: 0.996734
timestep 51200 of 666781, Norm of wave function: 0.996717
timestep 51400 of 666781, Norm of wave function: 0.996701
timestep 51600 of 666781, Norm of wave function: 0.996684
timestep 51800 of 666781, Norm of wave function: 0.996668
timestep 52000 of 666781, Norm of wave function: 0.996651
timestep 52200 of 666781, Norm of wave function: 0.996634
timestep 52400 of 666781, Norm of wave function: 0.996617
timestep 52600 of 666781, Norm of wave function: 0.9966
timestep 52800 of 666781, Norm of wave function: 0.996583
timestep 53000 of 666781, Norm of wave function: 0.996565
timestep 53200 of 666781, Norm of wave function: 0.996547
timestep 53400 of 666781, Norm of wave function: 0.99653
timestep 53600 of 666781, Norm of wave function: 0.996512
timestep 53800 of 666781, Norm of wave function: 0.996494
timestep 54000 of 666781, Norm of wave function: 0.996475
timestep 54200 of 666781, Norm of wave function: 0.996457
timestep 54400 of 666781, Norm of wave function: 0.996438
timestep 54600 of 666781, Norm of wave function: 0.996419
timestep 54800 of 666781, Norm of wave function: 0.996401
timestep 55000 of 666781, Norm of wave function: 0.996381
timestep 55200 of 666781, Norm of wave function: 0.996362
timestep 55400 of 666781, Norm of wave function: 0.996343
timestep 55600 of 666781, Norm of wave function: 0.996323
timestep 55800 of 666781, Norm of wave function: 0.996303
timestep 56000 of 666781, Norm of wave function: 0.996283
timestep 56200 of 666781, Norm of wave function: 0.996263
timestep 56400 of 666781, Norm of wave function: 0.996243
timestep 56600 of 666781, Norm of wave function: 0.996223
timestep 56800 of 666781, Norm of wave function: 0.996202
