{5.796340904208946*^-10 - 1.268935898824481*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.821225393444525*^-10 - 1.272888901418554*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.837591709621179*^-10 - 1.2749131233714209*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.845090738655413*^-10 - 1.2749333649872801*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.843384180572784*^-10 - 1.2728770216190698*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.83214603401917*^-10 - 1.2686744131801433*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.811064101292717*^-10 - 1.262259117520432*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.779841509250322*^-10 - 1.2535683066470876*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.738198241508198*^-10 - 1.2425430847860219*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.685872677335548*^-10 - 1.2291288271575358*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.622623132021926*^-10 - 1.2132755183653839*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.548229393454692*^-10 - 1.1949380891808903*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.462494249647956*^-10 - 1.1740767505256193*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.365245001311461*^-10 - 1.1506573233560706*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.256334953829183*^-10 - 1.1246515631685571*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.135644882418168*^-10 - 1.096037477739688*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.003084464641972*^-10 - 1.0647996367749451*^-8*I, 0. + 0.*I, 0. + 0.*I}
{4.858593673369715*^-10 - 1.0309294719902825*^-8*I, 0. + 0.*I, 0. + 0.*I}
{4.702144124413367*^-10 - 9.944255662499656*^-9*I, 0. + 0.*I, 0. + 0.*I}
{4.533740371526572*^-10 - 9.55293930249372*^-9*I, 0. + 0.*I, 0. + 0.*I}
{4.3534211427700323*^-10 - 9.135482652782481*^-9*I, 0. + 0.*I, 0. + 0.*I}
{4.1612605108453415*^-10 - 8.692102105720477*^-9*I, 0. + 0.*I, 0. + 0.*I}
{3.957368990942481*^-10 - 8.223095736956958*^-9*I, 0. + 0.*I, 0. + 0.*I}
{3.7418945591128247*^-10 - 7.728845425088305*^-9*I, 0. + 0.*I, 0. + 0.*I}
{3.5150235839551936*^-10 - 7.209818770896816*^-9*I, 0. + 0.*I, 0. + 0.*I}
{3.276981665141409*^-10 - 6.666570801872628*^-9*I, 0. + 0.*I, 0. + 0.*I}
{3.0280343713228264*^-10 - 6.099745445833307*^-9*I, 0. + 0.*I, 0. + 0.*I}
{2.768487870945383*^-10 - 5.510076759460341*^-9*I, 0. + 0.*I, 0. + 0.*I}
{2.4986894486991943*^-10 - 4.898389895767539*^-9*I, 0. + 0.*I, 0. + 0.*I}
{2.2190279011710414*^-10 - 4.265601796580395*^-9*I, 0. + 0.*I, 0. + 0.*I}
{1.9299338046725162*^-10 - 3.6127215947705083*^-9*I, 0. + 0.*I, 0. + 0.*I}
{1.631879648949354*^-10 - 2.940850712476918*^-9*I, 0. + 0.*I, 0. + 0.*I}
{1.325379830102112*^-10 - 2.251182640995303*^-9*I, 0. + 0.*I, 0. + 0.*I}
{1.010990496616136*^-10 - 1.5450023892284663*^-9*I, 0. + 0.*I, 0. + 0.*I}
{6.893092422605112*^-11 - 8.236855872169695*^-10*I, 0. + 0.*I, 0. + 0.*I}
{3.609746402093595*^-11 - 8.869723259411625*^-11*I, 0. + 0.*I, 0. + 0.*I}
{2.666561255191812*^-12 + 6.584099322848365*^-10*I, 0. + 0.*I, 0. + 0.*I}
{-3.1289937000079944*^-11 + 1.4159974236913315*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-6.56963263339124*^-11 + 2.1823434111298347*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-1.0047316048351906*^-10 + 2.9556455130586346*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-1.3553738522186487*^-10 + 3.734024002889772*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-1.7080249105523704*^-10 + 4.515525433522984*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-2.0617868508274175*^-10 + 5.298126687776588*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-2.41573082350254*^-10 + 6.079739461222655*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-2.768899169599411*^-10 + 6.858215182724138*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-3.12030773179913*^-10 + 7.63135037710229*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-3.468948367211517*^-10 + 8.396892473097796*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-3.8137916632413116*^-10 + 9.152546058855706*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-4.153789857074005*^-10 + 9.895979585611148*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-4.487879959327613*^-10 + 1.062483251936652*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-4.814987081046848*^-10 + 1.1336722938716865*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-5.134027963554522*^-10 + 1.2029255576005519*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-5.443914709055191*^-10 + 1.2700030297274014*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-5.743558710219709*^-10 + 1.334665101520312*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-6.031874775553059*^-10 + 1.3966735027997306*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-6.307785447119567*^-10 + 1.455792277505103*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-6.570225506617561*^-10 + 1.511788799986616*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-6.818146664368101*^-10 + 1.5644348307581796*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-7.05052242632163*^-10 + 1.6135076104789215*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-7.266353132009164*^-10 + 1.6587909905730087*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-7.464671157277459*^-10 + 1.7000765989463412*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-7.644546273129314*^-10 + 1.7371650388947563*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-7.805091153067032*^-10 + 1.7698671193440835*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-7.945467018938976*^-10 + 1.7980051141816515*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-8.06488941624204*^-10 + 1.821414048524843*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-8.162634107241025*^-10 + 1.8399430093411025*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-8.238043071631925*^-10 + 1.8534564779823894*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-8.290530601429346*^-10 + 1.8618356816964584*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-8.319589478587584*^-10 + 1.8649799613865827*^-8*I, 0. + 0.*I, 0. + 0.*I}
