{-9.836890171515613*^-8 + 0.00005505861368964901*I, 0. + 0.*I, 0. + 0.*I}
{-1.0402025998534121*^-7 + 0.000057916605293516914*I, 0. + 0.*I, 0. + 0.*I}
{-1.0947243445788735*^-7 + 0.000060640275064991775*I, 0. + 0.*I, 0. + 0.*I}
{-1.1466277556991331*^-7 + 0.00006319605811639044*I, 0. + 0.*I, 0. + 0.*I}
{-1.1952677919352532*^-7 + 0.00006554968197260325*I, 0. + 0.*I, 0. + 0.*I}
{-1.2399870016126006*^-7 + 0.0000676665081951262*I, 0. + 0.*I, 0. + 0.*I}
{-1.2801222329088738*^-7 + 0.00006951190164082039*I, 0. + 0.*I, 0. + 0.*I}
{-1.3150118708835218*^-7 + 0.00007105162445035489*I, 0. + 0.*I, 0. + 0.*I}
{-1.3440035433347528*^-7 + 0.00007225225134786829*I, 0. + 0.*I, 0. + 0.*I}
{-1.366462227328177*^-7 + 0.0000730816023335714*I, 0. + 0.*I, 0. + 0.*I}
{-1.381778678525349*^-7 + 0.00007350918837193204*I, 0. + 0.*I, 0. + 0.*I}
{-1.389378096222472*^-7 + 0.00007350666522739017*I, 0. + 0.*I, 0. + 0.*I}
{-1.3887289282615537*^-7 + 0.00007304829018488365*I, 0. + 0.*I, 0. + 0.*I}
{-1.3793517118806017*^-7 + 0.00007211137602104254*I, 0. + 0.*I, 0. + 0.*I}
{-1.3608278396456086*^-7 + 0.00007067673627154498*I, 0. + 0.*I, 0. + 0.*I}
{-1.3328081332388861*^-7 + 0.00006872911557731155*I, 0. + 0.*I, 0. + 0.*I}
{-1.2950211030070275*^-7 + 0.0000662575986941536*I, 0. + 0.*I, 0. + 0.*I}
{-1.247280767746733*^-7 + 0.00006325599162293759*I, 0. + 0.*I, 0. + 0.*I}
{-1.1894939063737762*^-7 + 0.0000597231682663874*I, 0. + 0.*I, 0. + 0.*I}
{-1.1216666131563479*^-7 + 0.00005566337604867092*I, 0. + 0.*I, 0. + 0.*I}
{-1.0439100282267104*^-7 + 0.000051086494049731015*I, 0. + 0.*I, 0. + 0.*I}
{-9.564451185125965*^-8 + 0.000046008237410658485*I, 0. + 0.*I, 0. + 0.*I}
{-8.596063880241927*^-8 + 0.000040450302062067695*I, 0. + 0.*I, 0. + 0.*I}
{-7.538444027115928*^-8 + 0.000034440444215498216*I, 0. + 0.*I, 0. + 0.*I}
{-6.397270235261404*^-8 + 0.000028012489538721723*I, 0. + 0.*I, 0. + 0.*I}
{-5.179392505065202*^-8 + 0.000021206267508700656*I, 0. + 0.*I, 0. + 0.*I}
{-3.892815930730687*^-8 + 0.000014067467098546063*I, 0. + 0.*I, 0. + 0.*I}
{-2.5466689471870328*^-8 + 6.647410704207415*^-6*I, 0. + 0.*I, 0. + 0.*I}
{-1.151155556204054*^-8 - 9.97255951898298*^-7*I, 0. + 0.*I, 0. + 0.*I}
{2.825088657083481*^-9 - 8.80495929517049*^-6*I, 0. + 0.*I, 0. + 0.*I}
{1.7421783924688768*^-8 - 0.000016709679128341598*I, 0. + 0.*I, 0. + 0.*I}
{3.214874026395657*^-8 - 0.00002464151495478089*I, 0. + 0.*I, 0. + 0.*I}
{4.6868976409366656*^-8 - 0.00003252733564307635*I, 0. + 0.*I, 0. + 0.*I}
{6.143961983436693*^-8 - 0.00004029150954797216*I, 0. + 0.*I, 0. + 0.*I}
{7.571336109591441*^-8 - 0.0000478567110399214*I, 0. + 0.*I, 0. + 0.*I}
{8.954005390926298*^-8 - 0.00005514479821526539*I, 0. + 0.*I, 0. + 0.*I}
{1.0276845006683727*^-7 - 0.00006207775537427471*I, 0. + 0.*I, 0. + 0.*I}
{1.1524805599271527*^-7 - 0.00006857869267957291*I, 0. + 0.*I, 0. + 0.*I}
