{-0.00004599172684321553 + 0.0008552078160930264*I, 0. + 0.*I, 0. + 0.*I}
{-0.000044620455749919225 + 0.0008295575765061559*I, 0. + 0.*I, 0. + 0.*I}
{-0.00004316041764653894 + 0.0008014971388304442*I, 0. + 0.*I, 0. + 0.*I}
{-0.0000416174063775565 + 0.0007711425392589226*I, 0. + 0.*I, 0. + 0.*I}
{-0.00003999801550698851 + 0.00073862810349584*I, 0. + 0.*I, 0. + 0.*I}
{-0.00003830966464905633 + 0.0007041070631553369*I, 0. + 0.*I, 0. + 0.*I}
{-0.00003656062481593662 + 0.0006677521499957839*I, 0. + 0.*I, 0. + 0.*I}
{-0.00003476004269903808 + 0.0006297561656119453*I, 0. + 0.*I, 0. + 0.*I}
{-0.00003291796376234239 + 0.0005903325241379206*I, 0. + 0.*I, 0. + 0.*I}
{-0.000031045354057690615 + 0.0005497157655309006*I, 0. + 0.*I, 0. + 0.*I}
{-0.00002915412063829917 + 0.0005081620369576015*I, 0. + 0.*I, 0. + 0.*I}
{-0.000027257130474388153 + 0.00046594953982870643*I, 0. + 0.*I, 0. + 0.*I}
{-0.000025368227766893747 + 0.0004233789400192373*I, 0. + 0.*I, 0. + 0.*I}
{-0.000023502249533227475 + 0.00038077373879033354*I, 0. + 0.*I, 0. + 0.*I}
{-0.000021675039391011603 + 0.0003384806020020532*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001990345939486329 + 0.0002968696451378654*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001820539986002112 + 0.0002563346717824809*I, 0. + 0.*I, 0. + 0.*I}
{-0.000016599787038586228 + 0.00021729336313980547*I, 0. + 0.*I, 0. + 0.*I}
{-0.000015106588573880129 + 0.0001801874162913183*I, 0. + 0.*I, 0. + 0.*I}
{-0.0000137468166051477 + 0.0001454826288674811*I, 0. + 0.*I, 0. + 0.*I}
{-0.000012542528455876013 + 0.00011366892793623615*I, 0. + 0.*I, 0. + 0.*I}
{-0.000011516824785569164 + 0.00008526034089992612*I, 0. + 0.*I, 0. + 0.*I}
{-0.000010693845129766902 + 0.00006079490631200534*I, 0. + 0.*I, 0. + 0.*I}
{-0.000010098760732907351 + 0.00004083452257221353*I, 0. + 0.*I, 0. + 0.*I}
{-9.757764591757444*^-6 + 0.00002596473255119626*I, 0. + 0.*I, 0. + 0.*I}
{-9.698058628472058*^-6 + 0.000016794442283260284*I, 0. + 0.*I, 0. + 0.*I}
{-9.947837916259264*^-6 + 0.000013955571961690967*I, 0. + 0.*I, 0. + 0.*I}
{-0.000010536271886602591 + 0.000018102637577697337*I, 0. + 0.*I, 0. + 0.*I}
{-0.000011493482450452648 + 0.000029912261653843934*I, 0. + 0.*I, 0. + 0.*I}
{-0.000012850518971851581 + 0.00005008261164250433*I, 0. + 0.*I, 0. + 0.*I}
{-0.000014639330037022053 + 0.00007933276468537484*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001689273196908227 + 0.00011840199756409111*I, 0. + 0.*I, 0. + 0.*I}
{-0.000019644374044490893 + 0.00016804900081293411*I, 0. + 0.*I, 0. + 0.*I}
{-0.00002292870036943561 + 0.00022905101610491414*I, 0. + 0.*I, 0. + 0.*I}
{-0.000026780908390904534 + 0.00030220289618918905*I, 0. + 0.*I, 0. + 0.*I}
{-0.00003123690401277144 + 0.00038831608680392005*I, 0. + 0.*I, 0. + 0.*I}
{-0.000036333253299813734 + 0.00048821753015995423*I, 0. + 0.*I, 0. + 0.*I}
{-0.00004210713076734423 + 0.0006027484897746492*I, 0. + 0.*I, 0. + 0.*I}
{-0.000048596264237522766 + 0.0007327632965799069*I, 0. + 0.*I, 0. + 0.*I}
{-0.00005583887629251379 + 0.000879128016465883*I, 0. + 0.*I, 0. + 0.*I}
{-0.00006387362231663238 + 0.0010427190395529934*I, 0. + 0.*I, 0. + 0.*I}
{-0.00007273952515720031 + 0.0012244215917112519*I, 0. + 0.*I, 0. + 0.*I}
{-0.00008247590644465157 + 0.0014251281690532283*I, 0. + 0.*I, 0. + 0.*I}
{-0.0000931223146010081 + 0.0016457368963007971*I, 0. + 0.*I, 0. + 0.*I}
{-0.000104718449576028 + 0.0018871498101311055*I, 0. + 0.*I, 0. + 0.*I}
{-0.0001173040844051237 + 0.0021502710688811317*I, 0. + 0.*I, 0. + 0.*I}
{-0.00013091898361138255 + 0.0024360050900998314*I, 0. + 0.*I, 0. + 0.*I}
{-0.00014560281856242937 + 0.0027452546177454498*I, 0. + 0.*I, 0. + 0.*I}
{-0.0001613950798342375 + 0.0030789187209662376*I, 0. + 0.*I, 0. + 0.*I}
{-0.00017833498674317354 + 0.00343789072674794*I, 0. + 0.*I, 0. + 0.*I}
{-0.00019646139404283218 + 0.0038230560887069108*I, 0. + 0.*I, 0. + 0.*I}
{-0.00021581269602944603 + 0.004235290194833262*I, 0. + 0.*I, 0. + 0.*I}
{-0.00023642672805619576 + 0.00467545611689358*I, 0. + 0.*I, 0. + 0.*I}
{-0.0002583406656992364 + 0.005144402304713562*I, 0. + 0.*I, 0. + 0.*I}
{-0.0002815909216206978 + 0.005642960228525142*I, 0. + 0.*I, 0. + 0.*I}
{-0.00030621304039946725 + 0.006171941973063188*I, 0. + 0.*I, 0. + 0.*I}
{-0.0003322415913148919 + 0.006732137786910858*I, 0. + 0.*I, 0. + 0.*I}
{-0.00035971005949877495 + 0.007324313591393347*I, 0. + 0.*I, 0. + 0.*I}
{-0.0003886507353619262 + 0.007949208452823823*I, 0. + 0.*I, 0. + 0.*I}
{-0.00041909460276257326 + 0.008607532022850096*I, 0. + 0.*I, 0. + 0.*I}
{-0.0004510712258456067 + 0.009299961951145075*I, 0. + 0.*I, 0. + 0.*I}
{-0.00048460863501787995 + 0.010027141275567133*I, 0. + 0.*I, 0. + 0.*I}
{-0.0005197332120356383 + 0.010789675794451172*I, 0. + 0.*I, 0. + 0.*I}
{-0.0005564695746574834 + 0.011588131426523164*I, 0. + 0.*I, 0. + 0.*I}
{-0.0005948404608890661 + 0.012423031563518391*I, 0. + 0.*I, 0. + 0.*I}
{-0.000634866613210068 + 0.013294854421239127*I, 0. + 0.*I, 0. + 0.*I}
{-0.0006765666629572297 + 0.014204030394644532*I, 0. + 0.*I, 0. + 0.*I}
{-0.0007199570151390031 + 0.015150939422892296*I, 0. + 0.*I, 0. + 0.*I}
