nohup: ignoring input
 --------------------------------------------------------
                  Real time propagation                  
  (C) Copyright by Bauer D and Koval P, Heidelberg (2005)
 --------------------------------------------------------
  No t-SURFF/i-SURFF data will be generated
 --------------------------------------------------------
./dat/real_prop.log will be (re)written.
./dat/real_prop_yield.dat will be (re)written.
./dat/real_prop_obser.dat will be (re)written.
Imaginary potential width: 	74.9159
Total grid length: 	79.9977
Total number of grid points: 	799
Distance at last grid point: 	80
Imag time prop grid with size: g_load.size() = 1000
  is fit into
Real time prop grid with size: g_prop.size() = 39950
Now I am storing
Norm of orbital: 1.000000e+00
timestep 28400 of 654686, Norm of wave function: 0.996779
timestep 28500 of 654686, Norm of wave function: 0.996768
timestep 28600 of 654686, Norm of wave function: 0.996756
timestep 28700 of 654686, Norm of wave function: 0.996745
timestep 28800 of 654686, Norm of wave function: 0.996733
timestep 28900 of 654686, Norm of wave function: 0.996722
timestep 29000 of 654686, Norm of wave function: 0.99671
timestep 29100 of 654686, Norm of wave function: 0.996699
timestep 29200 of 654686, Norm of wave function: 0.996688
timestep 29300 of 654686, Norm of wave function: 0.996676
timestep 29400 of 654686, Norm of wave function: 0.996665
timestep 29500 of 654686, Norm of wave function: 0.996653
timestep 29600 of 654686, Norm of wave function: 0.996642
timestep 29700 of 654686, Norm of wave function: 0.99663
timestep 29800 of 654686, Norm of wave function: 0.996619
timestep 29900 of 654686, Norm of wave function: 0.996608
timestep 30000 of 654686, Norm of wave function: 0.996596
timestep 30100 of 654686, Norm of wave function: 0.996585
timestep 30200 of 654686, Norm of wave function: 0.996573
timestep 30300 of 654686, Norm of wave function: 0.996562
timestep 30400 of 654686, Norm of wave function: 0.99655
timestep 30500 of 654686, Norm of wave function: 0.996539
timestep 30600 of 654686, Norm of wave function: 0.996527
timestep 30700 of 654686, Norm of wave function: 0.996516
timestep 30800 of 654686, Norm of wave function: 0.996505
timestep 30900 of 654686, Norm of wave function: 0.996493
timestep 31000 of 654686, Norm of wave function: 0.996482
timestep 31100 of 654686, Norm of wave function: 0.99647
timestep 31200 of 654686, Norm of wave function: 0.996459
timestep 31300 of 654686, Norm of wave function: 0.996447
timestep 31400 of 654686, Norm of wave function: 0.996436
timestep 31500 of 654686, Norm of wave function: 0.996425
timestep 31600 of 654686, Norm of wave function: 0.996413
